name,ring,quadrant,isNew,description
Kubernetes,Adopt,Platforms,FALSE,"Kubernetes, also known as K8s, is an open-source system for automating deployment, scaling, and management of containerized applications. CoverGo runs everything on top of it. K8s allows CoverGo to abstract away from the environment provider and be cloud-agnostic. If k8s is available somewhere, CoverGo can be deployed there."
Flux,Trial,Tools,TRUE,Flux is a set of continuous and progressive delivery solutions for Kubernetes CoverGo uses for continuous delivery. It monitors the docker registry and cluster state in a git repository to find out when a new version of an image is available and should be deployed. 
Microservices,Adopt,Techniques,FALSE,Microservices architecture is the cornerstone of CoverGo. We use it extensively and look at it as fundamental and basic practice in modern software development.
DDD,Trial,Techniques,TRUE,"Domain Drived Design (DDD) is a software engineering approach and set of practices popularized by Eric Evans. The insurance domain is very complex, so we are glad to tackle its complexity with the best industry-proven solutions. DDD is more than a development practice in CoverGo. We use it to form Ubiquitous language to communicate between internal teams and roles. Developers, product owners, and business analysts speak the same language and share the same abstractions across requirements, documentation, user journeys, and source code. We are always glad to include our customers in this knowledge-sharing process as well. "
Event Sourcing,Adopt,Techniques,FALSE,"Event Sourcing (ES) is a software engineering pattern popularized by Martin Fauler. The fundamental idea of Event Sourcing is that of ensuring every change to the state of an application is captured in an event object and that these event objects are themselves stored in the sequence they were applied for the same lifetime as the application state itself. CoverGo uses ES for most of the backend services, allowing ""what if"" and ""time-lapse"" scenarios, as well as providing robust audit logs and much more. "
CQRS ,Trial,Techniques,TRUE,Command Query Responsiility Segregation is an well-known engineering pattern itroduced by Greg Young. Insurance domain is a good fit to enjoy benefits from it. We use CQRS in backend services and find it amaizing. 
GraphQL,Adopt,languages-and-frameworks,FALSE,"GraphQL is the face of CoverGo. All our public APIs are GraphQL-based. We like GraphQL as it allows unprecedented flexibility to run multiple frontends without building a thick and costly BFF layer, expanding it for each new touchpoint that appeared."
API Gateway,Adopt,Techniques,FALSE,The only part exposed to external word is API Gateway. We like this pattern and combine security benefits with authentication and BFF functionality.
Continious Integration,Adopt,Techniques,FALSE,"We build often and fast, running sophisticated build workflows to make sure our software is ready for production without sacrificing features. Continuous Integration is a core practice we adopted. Combined with GitOps, a good CI became our daily routine and a part of the tech culture. "
Continious Deployment,Adopt,Techniques,FALSE,"CoverGo SaaS offering receives several updates per day because we can deploy even every commit, thanks to Continuous Deployment practice. CD is based on the docker registry, version-based tags of docker images, and Continuous Integration process. "
GitFlow,Assess,Techniques,TRUE,"To support isolated feature development, multiple environments, complex releases, and flexible deployments, we use the GitFlow branching model. "
SonarCloud,Trial,Tools,TRUE,"CoverGo treats security as a top priority and think source code scanning is very important. SonarCloud provides us per-PR scanning looking for security vurnerabilities, checking CoverGO source code, including OWASP top10 and CWE top25."
GitHub,Adopt,Platforms,FALSE,"GitHub is our choice for storing source code and CI\CD via GitHub actions. We like GitHub Pull Requests functionality and code owners, tons of integrations, and a high level of automation. It helps us to run mandatory code reviews for the new code with no hassle. "
.Net 5,Adopt,languages-and-frameworks,FALSE,Most of the backend services we have are written in C# and we use the latest .Net framework all the time.
ASP.Net 5,Adopt,languages-and-frameworks,FALSE,"ASP.Net 5 is the web framework CoverGo uses to power up our microservices. Performant, stable, proven, good."
Docker,Adopt,Tools,FALSE,All application components in CoverGo are dockerized to abstract away from the environment details. We prefer Alpine Linux-based images because of their small size and performance.
Vue.js,Adopt,languages-and-frameworks,FALSE,"CoverGo has a lot of frontends and different types of touchpoints. One of the reasons it is possible is the usage of Vue.js, for whom we send our warm love. "
REST,Hold,languages-and-frameworks,FALSE,We use REST for most of our internal microservice communications but gradually replacing it with GraphQL
MongoDb,Adopt,Tools,FALSE,"Main database for CoverGo. We use Mongo because of the need for dynamic JSON, rules, and data structure raising from the flexibility of No Code\Low Code nature of CoverGo."
DocumentDb,Adopt,Tools,FALSE,One of the mongo-compatabile database we use
CosmosDb,Adopt,Tools,FALSE,One of the mongo-compatabile database we use
StatusPage,Trial,Tools,TRUE,StatusPage is the official way to share the current situation with CoverGo platform with public. Feel free to subscribe for updates at https://status.covergo.cloud/
OpsGenie,Trial,Tools,TRUE,"Incident management lives here, in OpsGenie. We use it for any incident impacting smth more than just a development environment. OpsGenie also takes care of alerting, on-call schedule, and, of course, status page integration."
Jira,Adopt,Tools,FALSE,"Jira is the task tracker of our choice, spiced with some plugins"
Confluence,Adopt,Tools,FALSE,"Confluence is used as knowldge centre in CoverGo, for all teams. "
Slack,Adopt,Tools,FALSE,Slack is our main communication tool. It just works and we like it. 
AWS,Adopt,Platforms,FALSE,AWS is one of our cloud providers hosting a lot of infrastructure and clients
Azure,Adopt,Platforms,FALSE,Azure is one of our cloud providers available as an option to provision client's deployments
AliCloud,Adopt,Platforms,FALSE,AliCloud is one of our cloud providers hosting some of infrastructure and clients
Google Cloud,Adopt,Platforms,FALSE,Google cloud is one of our cloud providers available as an option to provision client's deployments
Trello,Adopt,Tools,FALSE,We used Trello before switching to Jira.
